population,drug,endpoint,state,n
routine_culture_no_recorded_lmwh_shared,vancomycin,hospital_dated,no_first_event,360
routine_culture_no_recorded_lmwh_shared,vancomycin,hospital_dated,recovery,1003
routine_culture_no_recorded_lmwh_shared,vancomycin,hospital_dated,death,571
routine_culture_no_recorded_lmwh_shared,vancomycin,hospital_dated,live_exit,558
routine_culture_no_recorded_lmwh_shared,linezolid,hospital_dated,no_first_event,18
routine_culture_no_recorded_lmwh_shared,linezolid,hospital_dated,recovery,14
routine_culture_no_recorded_lmwh_shared,linezolid,hospital_dated,death,17
routine_culture_no_recorded_lmwh_shared,linezolid,hospital_dated,live_exit,16
routine_culture_no_recorded_lmwh_shared,vancomycin,physical,no_first_event,90
routine_culture_no_recorded_lmwh_shared,vancomycin,physical,recovery,464
routine_culture_no_recorded_lmwh_shared,vancomycin,physical,death,450
routine_culture_no_recorded_lmwh_shared,vancomycin,physical,live_exit,1488
routine_culture_no_recorded_lmwh_shared,linezolid,physical,no_first_event,<10
routine_culture_no_recorded_lmwh_shared,linezolid,physical,recovery,<10
routine_culture_no_recorded_lmwh_shared,linezolid,physical,death,16
routine_culture_no_recorded_lmwh_shared,linezolid,physical,live_exit,35
routine_culture_no_recorded_lmwh_shared,vancomycin,physical_single,no_first_event,62
routine_culture_no_recorded_lmwh_shared,vancomycin,physical_single,recovery,829
routine_culture_no_recorded_lmwh_shared,vancomycin,physical_single,death,385
routine_culture_no_recorded_lmwh_shared,vancomycin,physical_single,live_exit,1216
routine_culture_no_recorded_lmwh_shared,linezolid,physical_single,no_first_event,<10
routine_culture_no_recorded_lmwh_shared,linezolid,physical_single,recovery,16
routine_culture_no_recorded_lmwh_shared,linezolid,physical_single,death,13
routine_culture_no_recorded_lmwh_shared,linezolid,physical_single,live_exit,31
routine_culture_no_recorded_lmwh_shared,vancomycin,physical_timed,no_first_event,96
routine_culture_no_recorded_lmwh_shared,vancomycin,physical_timed,recovery,443
routine_culture_no_recorded_lmwh_shared,vancomycin,physical_timed,death,452
routine_culture_no_recorded_lmwh_shared,vancomycin,physical_timed,live_exit,1501
routine_culture_no_recorded_lmwh_shared,linezolid,physical_timed,no_first_event,<10
routine_culture_no_recorded_lmwh_shared,linezolid,physical_timed,recovery,<10
routine_culture_no_recorded_lmwh_shared,linezolid,physical_timed,death,16
routine_culture_no_recorded_lmwh_shared,linezolid,physical_timed,live_exit,35
routine_culture_no_recorded_lmwh_shared,vancomycin,physical_dated,no_first_event,96
routine_culture_no_recorded_lmwh_shared,vancomycin,physical_dated,recovery,443
routine_culture_no_recorded_lmwh_shared,vancomycin,physical_dated,death,452
routine_culture_no_recorded_lmwh_shared,vancomycin,physical_dated,live_exit,1501
routine_culture_no_recorded_lmwh_shared,linezolid,physical_dated,no_first_event,<10
routine_culture_no_recorded_lmwh_shared,linezolid,physical_dated,recovery,<10
routine_culture_no_recorded_lmwh_shared,linezolid,physical_dated,death,16
routine_culture_no_recorded_lmwh_shared,linezolid,physical_dated,live_exit,35
routine_culture_no_recorded_lmwh_shared,vancomycin,icu,no_first_event,90
routine_culture_no_recorded_lmwh_shared,vancomycin,icu,recovery,467
routine_culture_no_recorded_lmwh_shared,vancomycin,icu,death,450
routine_culture_no_recorded_lmwh_shared,vancomycin,icu,live_exit,1485
routine_culture_no_recorded_lmwh_shared,linezolid,icu,no_first_event,<10
routine_culture_no_recorded_lmwh_shared,linezolid,icu,recovery,<10
routine_culture_no_recorded_lmwh_shared,linezolid,icu,death,16
routine_culture_no_recorded_lmwh_shared,linezolid,icu,live_exit,35
routine_culture_no_recorded_lmwh_shared,vancomycin,icu_single,no_first_event,62
routine_culture_no_recorded_lmwh_shared,vancomycin,icu_single,recovery,830
routine_culture_no_recorded_lmwh_shared,vancomycin,icu_single,death,385
routine_culture_no_recorded_lmwh_shared,vancomycin,icu_single,live_exit,1215
routine_culture_no_recorded_lmwh_shared,linezolid,icu_single,no_first_event,<10
routine_culture_no_recorded_lmwh_shared,linezolid,icu_single,recovery,16
routine_culture_no_recorded_lmwh_shared,linezolid,icu_single,death,13
routine_culture_no_recorded_lmwh_shared,linezolid,icu_single,live_exit,31
routine_culture_no_recorded_lmwh_shared,vancomycin,icu_timed,no_first_event,96
routine_culture_no_recorded_lmwh_shared,vancomycin,icu_timed,recovery,445
routine_culture_no_recorded_lmwh_shared,vancomycin,icu_timed,death,453
routine_culture_no_recorded_lmwh_shared,vancomycin,icu_timed,live_exit,1498
routine_culture_no_recorded_lmwh_shared,linezolid,icu_timed,no_first_event,<10
routine_culture_no_recorded_lmwh_shared,linezolid,icu_timed,recovery,<10
routine_culture_no_recorded_lmwh_shared,linezolid,icu_timed,death,16
routine_culture_no_recorded_lmwh_shared,linezolid,icu_timed,live_exit,35
routine_culture_no_recorded_lmwh_shared,vancomycin,icu_dated,no_first_event,96
routine_culture_no_recorded_lmwh_shared,vancomycin,icu_dated,recovery,445
routine_culture_no_recorded_lmwh_shared,vancomycin,icu_dated,death,453
routine_culture_no_recorded_lmwh_shared,vancomycin,icu_dated,live_exit,1498
routine_culture_no_recorded_lmwh_shared,linezolid,icu_dated,no_first_event,<10
routine_culture_no_recorded_lmwh_shared,linezolid,icu_dated,recovery,<10
routine_culture_no_recorded_lmwh_shared,linezolid,icu_dated,death,16
routine_culture_no_recorded_lmwh_shared,linezolid,icu_dated,live_exit,35
routine_bacterial_culture72h_shared,vancomycin,hospital,no_first_event,355
routine_bacterial_culture72h_shared,vancomycin,hospital,recovery,1042
routine_bacterial_culture72h_shared,vancomycin,hospital,death,575
routine_bacterial_culture72h_shared,vancomycin,hospital,live_exit,556
routine_bacterial_culture72h_shared,linezolid,hospital,no_first_event,18
routine_bacterial_culture72h_shared,linezolid,hospital,recovery,14
routine_bacterial_culture72h_shared,linezolid,hospital,death,17
routine_bacterial_culture72h_shared,linezolid,hospital,live_exit,16
routine_bacterial_culture72h_shared,vancomycin,hospital_single,no_first_event,266
routine_bacterial_culture72h_shared,vancomycin,hospital_single,recovery,1390
routine_bacterial_culture72h_shared,vancomycin,hospital_single,death,486
routine_bacterial_culture72h_shared,vancomycin,hospital_single,live_exit,386
routine_bacterial_culture72h_shared,linezolid,hospital_single,no_first_event,12
routine_bacterial_culture72h_shared,linezolid,hospital_single,recovery,27
routine_bacterial_culture72h_shared,linezolid,hospital_single,death,13
routine_bacterial_culture72h_shared,linezolid,hospital_single,live_exit,13
routine_bacterial_culture72h_shared,vancomycin,hospital72,no_first_event,356
routine_bacterial_culture72h_shared,vancomycin,hospital72,recovery,1038
routine_bacterial_culture72h_shared,vancomycin,hospital72,death,575
routine_bacterial_culture72h_shared,vancomycin,hospital72,live_exit,559
routine_bacterial_culture72h_shared,linezolid,hospital72,no_first_event,18
routine_bacterial_culture72h_shared,linezolid,hospital72,recovery,14
routine_bacterial_culture72h_shared,linezolid,hospital72,death,17
routine_bacterial_culture72h_shared,linezolid,hospital72,live_exit,16
routine_bacterial_culture72h_shared,vancomycin,hospital_timed,no_first_event,361
routine_bacterial_culture72h_shared,vancomycin,hospital_timed,recovery,1026
routine_bacterial_culture72h_shared,vancomycin,hospital_timed,death,578
routine_bacterial_culture72h_shared,vancomycin,hospital_timed,live_exit,563
routine_bacterial_culture72h_shared,linezolid,hospital_timed,no_first_event,18
routine_bacterial_culture72h_shared,linezolid,hospital_timed,recovery,14
routine_bacterial_culture72h_shared,linezolid,hospital_timed,death,17
routine_bacterial_culture72h_shared,linezolid,hospital_timed,live_exit,16
routine_bacterial_culture72h_shared,vancomycin,hospital_dated,no_first_event,361
routine_bacterial_culture72h_shared,vancomycin,hospital_dated,recovery,1026
routine_bacterial_culture72h_shared,vancomycin,hospital_dated,death,578
routine_bacterial_culture72h_shared,vancomycin,hospital_dated,live_exit,563
routine_bacterial_culture72h_shared,linezolid,hospital_dated,no_first_event,18
routine_bacterial_culture72h_shared,linezolid,hospital_dated,recovery,14
routine_bacterial_culture72h_shared,linezolid,hospital_dated,death,17
routine_bacterial_culture72h_shared,linezolid,hospital_dated,live_exit,16
routine_bacterial_culture72h_shared,vancomycin,physical,no_first_event,90
routine_bacterial_culture72h_shared,vancomycin,physical,recovery,470
routine_bacterial_culture72h_shared,vancomycin,physical,death,455
routine_bacterial_culture72h_shared,vancomycin,physical,live_exit,1513
routine_bacterial_culture72h_shared,linezolid,physical,no_first_event,<10
routine_bacterial_culture72h_shared,linezolid,physical,recovery,<10
routine_bacterial_culture72h_shared,linezolid,physical,death,16
routine_bacterial_culture72h_shared,linezolid,physical,live_exit,35
routine_bacterial_culture72h_shared,vancomycin,physical_single,no_first_event,62
routine_bacterial_culture72h_shared,vancomycin,physical_single,recovery,844
routine_bacterial_culture72h_shared,vancomycin,physical_single,death,389
routine_bacterial_culture72h_shared,vancomycin,physical_single,live_exit,1233
routine_bacterial_culture72h_shared,linezolid,physical_single,no_first_event,<10
routine_bacterial_culture72h_shared,linezolid,physical_single,recovery,16
routine_bacterial_culture72h_shared,linezolid,physical_single,death,13
routine_bacterial_culture72h_shared,linezolid,physical_single,live_exit,31
routine_bacterial_culture72h_shared,vancomycin,physical_timed,no_first_event,96
routine_bacterial_culture72h_shared,vancomycin,physical_timed,recovery,449
routine_bacterial_culture72h_shared,vancomycin,physical_timed,death,457
routine_bacterial_culture72h_shared,vancomycin,physical_timed,live_exit,1526
routine_bacterial_culture72h_shared,linezolid,physical_timed,no_first_event,<10
routine_bacterial_culture72h_shared,linezolid,physical_timed,recovery,<10
routine_bacterial_culture72h_shared,linezolid,physical_timed,death,16
routine_bacterial_culture72h_shared,linezolid,physical_timed,live_exit,35
routine_bacterial_culture72h_shared,vancomycin,physical_dated,no_first_event,96
routine_bacterial_culture72h_shared,vancomycin,physical_dated,recovery,449
routine_bacterial_culture72h_shared,vancomycin,physical_dated,death,457
routine_bacterial_culture72h_shared,vancomycin,physical_dated,live_exit,1526
routine_bacterial_culture72h_shared,linezolid,physical_dated,no_first_event,<10
routine_bacterial_culture72h_shared,linezolid,physical_dated,recovery,<10
routine_bacterial_culture72h_shared,linezolid,physical_dated,death,16
routine_bacterial_culture72h_shared,linezolid,physical_dated,live_exit,35
routine_bacterial_culture72h_shared,vancomycin,icu,no_first_event,90
routine_bacterial_culture72h_shared,vancomycin,icu,recovery,473
routine_bacterial_culture72h_shared,vancomycin,icu,death,455
routine_bacterial_culture72h_shared,vancomycin,icu,live_exit,1510
routine_bacterial_culture72h_shared,linezolid,icu,no_first_event,<10
routine_bacterial_culture72h_shared,linezolid,icu,recovery,<10
routine_bacterial_culture72h_shared,linezolid,icu,death,16
routine_bacterial_culture72h_shared,linezolid,icu,live_exit,35
routine_bacterial_culture72h_shared,vancomycin,icu_single,no_first_event,62
routine_bacterial_culture72h_shared,vancomycin,icu_single,recovery,845
routine_bacterial_culture72h_shared,vancomycin,icu_single,death,389
routine_bacterial_culture72h_shared,vancomycin,icu_single,live_exit,1232
routine_bacterial_culture72h_shared,linezolid,icu_single,no_first_event,<10
routine_bacterial_culture72h_shared,linezolid,icu_single,recovery,16
routine_bacterial_culture72h_shared,linezolid,icu_single,death,13
routine_bacterial_culture72h_shared,linezolid,icu_single,live_exit,31
routine_bacterial_culture72h_shared,vancomycin,icu_timed,no_first_event,96
routine_bacterial_culture72h_shared,vancomycin,icu_timed,recovery,451
routine_bacterial_culture72h_shared,vancomycin,icu_timed,death,458
routine_bacterial_culture72h_shared,vancomycin,icu_timed,live_exit,1523
routine_bacterial_culture72h_shared,linezolid,icu_timed,no_first_event,<10
routine_bacterial_culture72h_shared,linezolid,icu_timed,recovery,<10
routine_bacterial_culture72h_shared,linezolid,icu_timed,death,16
routine_bacterial_culture72h_shared,linezolid,icu_timed,live_exit,35
routine_bacterial_culture72h_shared,vancomycin,icu_dated,no_first_event,96
routine_bacterial_culture72h_shared,vancomycin,icu_dated,recovery,451
routine_bacterial_culture72h_shared,vancomycin,icu_dated,death,458
routine_bacterial_culture72h_shared,vancomycin,icu_dated,live_exit,1523
routine_bacterial_culture72h_shared,linezolid,icu_dated,no_first_event,<10
routine_bacterial_culture72h_shared,linezolid,icu_dated,recovery,<10
routine_bacterial_culture72h_shared,linezolid,icu_dated,death,16
routine_bacterial_culture72h_shared,linezolid,icu_dated,live_exit,35
