population,drug,discharge_window,prior_confirmation,bin,n,denominator,fraction,lower,upper,valid_draws
routine_bacterial_culture72h_shared,vancomycin,After14d,NotConfirmedBeforeDischarge,Below50,64,153,0.399123089924701,0.267455724366711,0.534603175717709,2000
routine_bacterial_culture72h_shared,vancomycin,After14d,NotConfirmedBeforeDischarge,From50to99,86,153,0.585537633302078,0.445037151609485,0.7152265750766,2000
routine_bacterial_culture72h_shared,vancomycin,After14d,NotConfirmedBeforeDischarge,AtLeast100,<10,153,0.0153392767732215,0,0.0519315638930596,2000
routine_bacterial_culture72h_shared,vancomycin,After14d,NotConfirmedBeforeDischarge,MissingOrAmbiguous,0,153,0,0,0,2000
routine_bacterial_culture72h_shared,linezolid,Within14d,All,Below50,<10,23,0.257346260648697,0.0956615159217661,0.436126117204818,2000
routine_bacterial_culture72h_shared,linezolid,Within14d,All,From50to99,<10,23,0.344510789325258,0.166188108078432,0.541639284701195,2000
routine_bacterial_culture72h_shared,linezolid,Within14d,All,AtLeast100,<10,23,0.398142950026045,0.21463258640187,0.58955965701623,2000
routine_bacterial_culture72h_shared,linezolid,Within14d,All,MissingOrAmbiguous,0,23,0,0,0,2000
routine_bacterial_culture72h_shared,linezolid,Within14d,ConfirmedBeforeDischarge,Below50,0,<10,0,0,0,2000
routine_bacterial_culture72h_shared,linezolid,Within14d,ConfirmedBeforeDischarge,From50to99,<10,<10,0.130538413765432,0,0.399711909682226,2000
routine_bacterial_culture72h_shared,linezolid,Within14d,ConfirmedBeforeDischarge,AtLeast100,<10,<10,0.869461586234568,0.600288090317774,1,2000
routine_bacterial_culture72h_shared,linezolid,Within14d,ConfirmedBeforeDischarge,MissingOrAmbiguous,0,<10,0,0,0,2000
routine_bacterial_culture72h_shared,linezolid,Within14d,NotConfirmedBeforeDischarge,Below50,<10,16,0.369521410168311,0.142526081586943,0.597562222872624,2000
routine_bacterial_culture72h_shared,linezolid,Within14d,NotConfirmedBeforeDischarge,From50to99,<10,16,0.437779613830371,0.194477846341539,0.70818171227679,2000
routine_bacterial_culture72h_shared,linezolid,Within14d,NotConfirmedBeforeDischarge,AtLeast100,<10,16,0.192698976001318,0,0.396021939186877,2000
routine_bacterial_culture72h_shared,linezolid,Within14d,NotConfirmedBeforeDischarge,MissingOrAmbiguous,0,16,0,0,0,2000
routine_bacterial_culture72h_shared,linezolid,After14d,All,Below50,<10,16,0.126594337503935,0,0.32363533654902,2000
routine_bacterial_culture72h_shared,linezolid,After14d,All,From50to99,<10,16,0.236287768745533,0.0524189228977282,0.438561879982898,2000
routine_bacterial_culture72h_shared,linezolid,After14d,All,AtLeast100,10,16,0.637117893750533,0.393388357900291,0.859412952770339,2000
routine_bacterial_culture72h_shared,linezolid,After14d,All,MissingOrAmbiguous,0,16,0,0,0,2000
routine_bacterial_culture72h_shared,linezolid,After14d,ConfirmedBeforeDischarge,Below50,0,10,0,0,0,2000
routine_bacterial_culture72h_shared,linezolid,After14d,ConfirmedBeforeDischarge,From50to99,0,10,0,0,0,2000
routine_bacterial_culture72h_shared,linezolid,After14d,ConfirmedBeforeDischarge,AtLeast100,10,10,1,1,1,2000
routine_bacterial_culture72h_shared,linezolid,After14d,ConfirmedBeforeDischarge,MissingOrAmbiguous,0,10,0,0,0,2000
routine_bacterial_culture72h_shared,linezolid,After14d,NotConfirmedBeforeDischarge,Below50,<10,<10,0.348858032192158,0,0.796209792650392,2000
routine_bacterial_culture72h_shared,linezolid,After14d,NotConfirmedBeforeDischarge,From50to99,<10,<10,0.651141967807842,0.203790207349609,1,2000
routine_bacterial_culture72h_shared,linezolid,After14d,NotConfirmedBeforeDischarge,AtLeast100,0,<10,0,0,0,2000
routine_bacterial_culture72h_shared,linezolid,After14d,NotConfirmedBeforeDischarge,MissingOrAmbiguous,0,<10,0,0,0,2000
